date,product,revenue_mil_vnd,cost_mil_vnd,profit_mil_vnd
2025-01-09,Advisory,226.6,77.1,149.5
2025-01-09,Bond/Fund Distribution,207.9,68.7,139.1
2025-01-10,Equity Brokerage,1208.1,541.1,667.0
2025-01-10,Margin Lending,918.3,501.2,417.1
2025-01-10,Derivatives,342.9,114.4,228.5
2025-01-10,Advisory,344.5,209.1,135.4
2025-01-10,Bond/Fund Distribution,372.7,195.4,177.2
2025-01-11,Equity Brokerage,1265.2,719.2,546.0
2025-01-11,Margin Lending,1033.7,573.1,460.6
2025-01-11,Derivatives,469.4,138.8,330.6
2025-01-11,Advisory,277.9,110.2,167.7
2025-01-11,Bond/Fund Distribution,162.6,77.5,85.1
2025-01-12,Equity Brokerage,1315.2,523.5,791.7
2025-01-12,Margin Lending,1061.8,327.9,733.9
2025-01-12,Derivatives,329.3,108.8,220.5
2025-01-12,Advisory,177.0,89.9,87.1
2025-01-12,Bond/Fund Distribution,261.8,119.4,142.4
2025-01-13,Equity Brokerage,1031.0,527.4,503.6
2025-01-13,Margin Lending,855.4,419.6,435.8
2025-01-13,Derivatives,446.2,245.6,200.5
2025-01-13,Advisory,187.6,54.3,133.2
2025-01-13,Bond/Fund Distribution,192.8,64.8,128.1
2025-01-14,Equity Brokerage,1105.8,646.4,459.4
2025-01-14,Margin Lending,964.9,525.9,439.0
2025-01-14,Derivatives,359.4,216.9,142.5
2025-01-14,Advisory,84.9,45.0,39.9
2025-01-14,Bond/Fund Distribution,318.0,106.8,211.3
2025-01-15,Equity Brokerage,1282.6,381.9,900.8
2025-01-15,Margin Lending,922.3,285.9,636.4
2025-01-15,Derivatives,410.3,167.2,243.1
2025-01-15,Advisory,168.9,58.5,110.4
2025-01-15,Bond/Fund Distribution,303.1,115.4,187.7
2025-01-16,Equity Brokerage,1202.0,720.0,482.0
2025-01-16,Margin Lending,1020.3,486.8,533.5
2025-01-16,Derivatives,296.3,128.3,168.1
2025-01-16,Advisory,180.1,102.9,77.2
2025-01-16,Bond/Fund Distribution,172.3,104.5,67.8
2025-01-17,Equity Brokerage,1176.5,422.2,754.2
2025-01-17,Margin Lending,955.7,424.9,530.8
2025-01-17,Derivatives,394.7,226.2,168.5
2025-01-17,Advisory,73.6,27.3,46.3
2025-01-17,Bond/Fund Distribution,258.3,140.8,117.5
2025-01-18,Equity Brokerage,1087.0,390.4,696.5
2025-01-18,Margin Lending,1061.8,619.1,442.7
2025-01-18,Derivatives,572.7,327.9,244.8
2025-01-18,Advisory,200.6,115.7,84.9
2025-01-18,Bond/Fund Distribution,225.5,126.2,99.3
2025-01-19,Equity Brokerage,1139.1,652.5,486.5
2025-01-19,Margin Lending,1009.2,414.2,595.1
2025-01-19,Derivatives,268.6,163.4,105.1
2025-01-19,Advisory,133.1,74.5,58.5
2025-01-19,Bond/Fund Distribution,208.3,118.3,90.0
2025-01-20,Equity Brokerage,1146.6,504.2,642.4
2025-01-20,Margin Lending,1075.1,652.0,423.1
2025-01-20,Derivatives,378.8,134.7,244.1
2025-01-20,Advisory,262.8,132.3,130.4
2025-01-20,Bond/Fund Distribution,266.2,164.9,101.3
2025-01-21,Equity Brokerage,1282.7,360.5,922.2
2025-01-21,Margin Lending,962.5,560.3,402.2
2025-01-21,Derivatives,372.5,161.1,211.4
2025-01-21,Advisory,164.9,52.0,112.9
2025-01-21,Bond/Fund Distribution,279.8,171.1,108.8
2025-01-22,Equity Brokerage,1094.7,678.7,416.0
2025-01-22,Margin Lending,875.1,384.7,490.4
2025-01-22,Derivatives,415.0,137.1,278.0
2025-01-22,Advisory,300.3,176.6,123.7
2025-01-22,Bond/Fund Distribution,388.7,136.2,252.5
2025-01-23,Equity Brokerage,1139.2,364.9,774.3
2025-01-23,Margin Lending,1068.2,505.9,562.3
2025-01-23,Derivatives,519.7,247.1,272.6
2025-01-23,Advisory,254.6,97.4,157.2
2025-01-23,Bond/Fund Distribution,138.6,49.6,89.0
2025-01-24,Equity Brokerage,1360.4,527.3,833.0
2025-01-24,Margin Lending,1125.5,442.6,683.0
2025-01-24,Derivatives,297.6,139.9,157.7
2025-01-24,Advisory,242.9,150.6,92.4
2025-01-24,Bond/Fund Distribution,332.1,110.6,221.5
2025-01-25,Equity Brokerage,1126.6,318.2,808.4
2025-01-25,Margin Lending,938.7,305.8,632.9
2025-01-25,Derivatives,362.2,177.9,184.3
2025-01-25,Advisory,207.4,115.4,92.0
2025-01-25,Bond/Fund Distribution,463.5,246.6,216.8
2025-01-26,Equity Brokerage,1207.1,642.8,564.4
2025-01-26,Margin Lending,957.1,451.8,505.2
2025-01-26,Derivatives,470.5,175.7,294.8
2025-01-26,Advisory,74.2,45.2,29.0
2025-01-26,Bond/Fund Distribution,388.7,141.2,247.5
2025-01-27,Equity Brokerage,1065.2,605.2,460.0
2025-01-27,Margin Lending,1037.7,602.8,434.8
2025-01-27,Derivatives,313.2,164.1,149.1
2025-01-27,Advisory,114.4,56.0,58.4
2025-01-27,Bond/Fund Distribution,253.0,95.7,157.4
2025-01-28,Equity Brokerage,1218.3,599.5,618.8
2025-01-28,Margin Lending,866.6,381.5,485.2
2025-01-28,Derivatives,426.7,247.5,179.2
2025-01-28,Advisory,156.6,51.6,105.0
2025-01-28,Bond/Fund Distribution,315.0,153.2,161.8
2025-01-29,Equity Brokerage,1195.4,538.2,657.2
2025-01-29,Margin Lending,1017.1,293.2,723.9
2025-01-29,Derivatives,397.1,133.6,263.5
2025-01-29,Advisory,147.6,42.0,105.6
2025-01-29,Bond/Fund Distribution,238.7,79.7,159.0
2025-01-30,Equity Brokerage,1181.2,717.4,463.8
2025-01-30,Margin Lending,1042.3,353.3,689.0
2025-01-30,Derivatives,352.2,105.6,246.7
2025-01-30,Advisory,141.5,40.6,100.9
2025-01-30,Bond/Fund Distribution,315.1,175.5,139.5
2025-01-31,Equity Brokerage,1162.7,330.9,831.8
2025-01-31,Margin Lending,841.7,238.6,603.0
2025-01-31,Derivatives,336.5,156.1,180.5
2025-01-31,Advisory,152.7,85.9,66.8
2025-01-31,Bond/Fund Distribution,286.1,160.0,126.1
2025-02-01,Equity Brokerage,1201.6,524.2,677.4
2025-02-01,Margin Lending,930.2,314.2,616.0
2025-02-01,Derivatives,463.8,188.4,275.4
2025-02-01,Advisory,108.0,63.1,44.9
2025-02-01,Bond/Fund Distribution,285.0,122.7,162.3
2025-02-02,Equity Brokerage,1247.0,518.6,728.5
2025-02-02,Margin Lending,1096.3,488.6,607.7
2025-02-02,Derivatives,348.2,125.0,223.2
2025-02-02,Advisory,105.6,57.1,48.5
2025-02-02,Bond/Fund Distribution,379.1,154.5,224.6
2025-02-03,Equity Brokerage,1117.5,493.4,624.1
2025-02-03,Margin Lending,1093.7,669.3,424.4
2025-02-03,Derivatives,364.3,134.9,229.4
2025-02-03,Advisory,288.6,132.3,156.3
2025-02-03,Bond/Fund Distribution,169.7,70.3,99.4
2025-02-04,Equity Brokerage,1267.8,779.2,488.6
2025-02-04,Margin Lending,1052.0,544.7,507.3
2025-02-04,Derivatives,416.1,216.8,199.3
2025-02-04,Advisory,66.6,23.8,42.8
2025-02-04,Bond/Fund Distribution,198.6,105.6,93.0
2025-02-05,Equity Brokerage,1323.6,590.3,733.3
2025-02-05,Margin Lending,895.4,454.8,440.6
2025-02-05,Derivatives,307.0,88.5,218.6
2025-02-05,Advisory,232.0,89.9,142.1
2025-02-05,Bond/Fund Distribution,377.4,209.4,167.9
2025-02-06,Equity Brokerage,1061.2,442.7,618.5
2025-02-06,Margin Lending,835.9,313.6,522.2
2025-02-06,Derivatives,351.2,163.9,187.4
2025-02-06,Advisory,284.0,114.7,169.3
2025-02-06,Bond/Fund Distribution,342.0,182.4,159.6
2025-02-07,Equity Brokerage,1228.8,522.8,706.0
2025-02-07,Margin Lending,1118.0,672.0,446.0
2025-02-07,Derivatives,476.3,219.6,256.6
2025-02-07,Advisory,253.2,85.1,168.1
2025-02-07,Bond/Fund Distribution,168.9,78.6,90.3
2025-02-08,Equity Brokerage,1307.0,555.3,751.8
2025-02-08,Margin Lending,1157.7,355.3,802.4
2025-02-08,Derivatives,557.3,234.3,323.0
2025-02-08,Advisory,132.3,48.6,83.8
2025-02-08,Bond/Fund Distribution,329.9,137.6,192.3
2025-02-09,Equity Brokerage,1221.9,641.7,580.2
2025-02-09,Margin Lending,969.3,301.1,668.2
2025-02-09,Derivatives,235.1,101.6,133.6
2025-02-09,Advisory,187.0,93.4,93.6
2025-02-09,Bond/Fund Distribution,221.7,135.9,85.8
2025-02-10,Equity Brokerage,1201.1,395.3,805.8
2025-02-10,Margin Lending,990.7,329.9,660.8
2025-02-10,Derivatives,440.0,269.9,170.2
2025-02-10,Advisory,172.5,90.3,82.2
2025-02-10,Bond/Fund Distribution,217.2,82.0,135.2
2025-02-11,Equity Brokerage,1269.6,743.3,526.3
2025-02-11,Margin Lending,1024.0,552.0,472.0
2025-02-11,Derivatives,479.0,208.7,270.3
2025-02-11,Advisory,20.0,10.0,10.0
2025-02-11,Bond/Fund Distribution,278.3,126.8,151.6
2025-02-12,Equity Brokerage,1217.0,363.0,854.0
2025-02-12,Margin Lending,857.1,372.2,484.8
2025-02-12,Derivatives,464.6,274.7,189.9
2025-02-12,Advisory,159.3,77.1,82.1
2025-02-12,Bond/Fund Distribution,226.0,129.2,96.8
2025-02-13,Equity Brokerage,1181.8,580.4,601.4
2025-02-13,Margin Lending,846.8,274.8,572.0
2025-02-13,Derivatives,483.4,265.0,218.4
2025-02-13,Advisory,175.3,91.8,83.6
2025-02-13,Bond/Fund Distribution,243.5,140.0,103.6
2025-02-14,Equity Brokerage,1276.6,627.6,649.0
2025-02-14,Margin Lending,950.6,318.6,632.0
2025-02-14,Derivatives,274.8,128.6,146.2
2025-02-14,Advisory,114.9,58.1,56.8
2025-02-14,Bond/Fund Distribution,220.4,131.0,89.5
2025-02-15,Equity Brokerage,1199.7,718.5,481.2
2025-02-15,Margin Lending,1008.0,401.8,606.1
2025-02-15,Derivatives,413.3,242.0,171.3
2025-02-15,Advisory,264.4,152.6,111.8
2025-02-15,Bond/Fund Distribution,289.3,98.3,191.0
2025-02-16,Equity Brokerage,1274.9,767.2,507.6
2025-02-16,Margin Lending,925.0,280.8,644.3
2025-02-16,Derivatives,466.7,162.6,304.0
2025-02-16,Advisory,197.3,66.6,130.7
2025-02-16,Bond/Fund Distribution,235.1,108.7,126.3
2025-02-17,Equity Brokerage,1162.2,355.4,806.7
2025-02-17,Margin Lending,707.5,260.8,446.6
2025-02-17,Derivatives,358.0,125.9,232.1
2025-02-17,Advisory,270.0,116.4,153.5
2025-02-17,Bond/Fund Distribution,373.6,211.9,161.7
2025-02-18,Equity Brokerage,1108.2,640.4,467.8
2025-02-18,Margin Lending,1091.7,675.6,416.1
2025-02-18,Derivatives,440.1,145.7,294.4
2025-02-18,Advisory,273.5,164.3,109.3
2025-02-18,Bond/Fund Distribution,257.1,133.7,123.3
2025-02-19,Equity Brokerage,1219.2,456.4,762.8
2025-02-19,Margin Lending,832.0,498.5,333.4
2025-02-19,Derivatives,419.4,238.3,181.1
2025-02-19,Advisory,20.6,10.0,11.9
2025-02-19,Bond/Fund Distribution,138.1,83.8,54.3
2025-02-20,Equity Brokerage,1220.8,733.5,487.3
2025-02-20,Margin Lending,1009.0,364.9,644.1
2025-02-20,Derivatives,246.1,108.3,137.8
2025-02-20,Advisory,169.4,85.1,84.3
2025-02-20,Bond/Fund Distribution,149.5,73.5,76.1
2025-02-21,Equity Brokerage,1107.8,387.2,720.6
2025-02-21,Margin Lending,935.5,476.7,458.8
2025-02-21,Derivatives,470.0,264.9,205.1
2025-02-21,Advisory,177.1,55.9,121.2
2025-02-21,Bond/Fund Distribution,208.9,114.3,94.6
2025-02-22,Equity Brokerage,1072.6,378.4,694.3
2025-02-22,Margin Lending,902.9,276.5,626.3
2025-02-22,Derivatives,263.1,99.1,164.0
2025-02-22,Advisory,173.7,98.0,75.7
2025-02-22,Bond/Fund Distribution,208.5,127.8,80.7
2025-02-23,Equity Brokerage,1279.8,395.1,884.7
2025-02-23,Margin Lending,811.1,390.6,420.5
2025-02-23,Derivatives,440.1,180.1,260.1
2025-02-23,Advisory,273.2,165.5,107.7
2025-02-23,Bond/Fund Distribution,162.8,67.3,95.5
2025-02-24,Equity Brokerage,1201.8,731.3,470.5
2025-02-24,Margin Lending,1019.4,558.4,460.9
2025-02-24,Derivatives,398.3,237.1,161.1
2025-02-24,Advisory,245.9,147.7,98.2
2025-02-24,Bond/Fund Distribution,175.7,55.3,120.4
2025-02-25,Equity Brokerage,1294.8,456.8,838.0
2025-02-25,Margin Lending,976.9,506.6,470.4
2025-02-25,Derivatives,435.3,162.1,273.2
2025-02-25,Advisory,239.1,124.3,114.9
2025-02-25,Bond/Fund Distribution,95.1,35.0,60.2
2025-02-26,Equity Brokerage,1141.0,646.0,495.0
2025-02-26,Margin Lending,841.4,435.1,406.3
2025-02-26,Derivatives,325.4,182.6,142.8
2025-02-26,Advisory,119.3,36.5,82.8
2025-02-26,Bond/Fund Distribution,276.9,143.5,133.4
2025-02-27,Equity Brokerage,1236.3,714.5,521.8
2025-02-27,Margin Lending,975.7,387.5,588.2
2025-02-27,Derivatives,427.4,148.4,279.0
2025-02-27,Advisory,109.7,50.1,59.5
2025-02-27,Bond/Fund Distribution,192.5,75.2,117.3
2025-02-28,Equity Brokerage,1184.7,675.0,509.6
2025-02-28,Margin Lending,878.8,321.5,557.3
2025-02-28,Derivatives,286.8,171.5,115.3
2025-02-28,Advisory,325.1,192.2,133.0
2025-02-28,Bond/Fund Distribution,256.0,114.5,141.5
2025-03-01,Equity Brokerage,1384.1,509.1,875.0
2025-03-01,Margin Lending,948.2,320.7,627.5
2025-03-01,Derivatives,399.9,139.2,260.6
2025-03-01,Advisory,211.5,117.3,94.2
2025-03-01,Bond/Fund Distribution,194.3,82.2,112.2
2025-03-02,Equity Brokerage,1166.5,434.2,732.3
2025-03-02,Margin Lending,950.6,519.2,431.4
2025-03-02,Derivatives,297.5,140.8,156.7
2025-03-02,Advisory,104.1,52.8,51.4
2025-03-02,Bond/Fund Distribution,92.1,55.3,36.8
2025-03-03,Equity Brokerage,1138.3,535.6,602.7
2025-03-03,Margin Lending,905.9,281.8,624.1
2025-03-03,Derivatives,371.0,173.3,197.7
2025-03-03,Advisory,20.0,10.0,10.0
2025-03-03,Bond/Fund Distribution,249.0,131.0,118.0
2025-03-04,Equity Brokerage,1194.7,610.7,584.0
2025-03-04,Margin Lending,1080.4,466.5,613.9
2025-03-04,Derivatives,302.5,115.4,187.2
2025-03-04,Advisory,50.7,28.6,22.1
2025-03-04,Bond/Fund Distribution,309.6,136.3,173.3
2025-03-05,Equity Brokerage,1149.4,336.4,813.0
2025-03-05,Margin Lending,1052.0,477.6,574.4
2025-03-05,Derivatives,394.7,177.0,217.7
2025-03-05,Advisory,155.3,56.3,99.0
2025-03-05,Bond/Fund Distribution,179.8,88.3,91.5
2025-03-06,Equity Brokerage,1305.1,390.6,914.6
2025-03-06,Margin Lending,1095.3,504.4,590.9
2025-03-06,Derivatives,431.7,264.9,166.7
2025-03-06,Advisory,134.0,53.9,80.1
2025-03-06,Bond/Fund Distribution,148.2,57.0,91.3
2025-03-07,Equity Brokerage,1272.4,655.8,616.6
2025-03-07,Margin Lending,942.0,282.6,659.4
2025-03-07,Derivatives,354.3,192.4,161.9
2025-03-07,Advisory,165.4,90.1,75.3
2025-03-07,Bond/Fund Distribution,347.0,125.5,221.5
2025-03-08,Equity Brokerage,1053.4,513.6,539.8
2025-03-08,Margin Lending,934.2,347.1,587.1
2025-03-08,Derivatives,236.4,130.5,105.9
2025-03-08,Advisory,147.2,87.9,59.3
2025-03-08,Bond/Fund Distribution,152.5,45.9,106.6
2025-03-09,Equity Brokerage,1288.3,784.5,503.8
2025-03-09,Margin Lending,910.8,348.3,562.5
2025-03-09,Derivatives,463.5,161.6,301.9
2025-03-09,Advisory,283.5,163.4,120.1
2025-03-09,Bond/Fund Distribution,357.5,165.0,192.5
2025-03-10,Equity Brokerage,1146.9,371.9,775.0
2025-03-10,Margin Lending,942.9,407.9,534.9
2025-03-10,Derivatives,338.3,176.4,161.9
2025-03-10,Advisory,206.9,104.0,102.9
2025-03-10,Bond/Fund Distribution,283.1,95.2,188.0
2025-03-11,Equity Brokerage,1308.5,616.3,692.2
2025-03-11,Margin Lending,886.8,292.9,593.9
2025-03-11,Derivatives,285.9,151.4,134.6
2025-03-11,Advisory,204.2,91.2,113.0
2025-03-11,Bond/Fund Distribution,214.5,95.5,118.9
2025-03-12,Equity Brokerage,1237.9,500.4,737.5
2025-03-12,Margin Lending,871.3,535.4,336.0
2025-03-12,Derivatives,255.3,109.7,145.6
2025-03-12,Advisory,139.1,55.0,84.2
2025-03-12,Bond/Fund Distribution,233.5,116.9,116.6
2025-03-13,Equity Brokerage,1093.9,371.7,722.1
2025-03-13,Margin Lending,992.8,554.0,438.8
2025-03-13,Derivatives,158.3,74.3,84.0
2025-03-13,Advisory,114.4,32.3,82.1
2025-03-13,Bond/Fund Distribution,149.3,86.0,63.4
2025-03-14,Equity Brokerage,1234.9,691.4,543.6
2025-03-14,Margin Lending,1018.1,365.3,652.8
2025-03-14,Derivatives,511.0,220.6,290.5
2025-03-14,Advisory,175.8,78.0,97.8
2025-03-14,Bond/Fund Distribution,270.3,125.8,144.4
2025-03-15,Equity Brokerage,1113.4,605.1,508.2
2025-03-15,Margin Lending,1002.1,313.3,688.8
2025-03-15,Derivatives,450.8,172.1,278.7
2025-03-15,Advisory,164.7,64.8,99.9
2025-03-15,Bond/Fund Distribution,176.4,104.0,72.4
2025-03-16,Equity Brokerage,1104.1,378.4,725.7
2025-03-16,Margin Lending,952.9,517.7,435.3
2025-03-16,Derivatives,420.1,249.9,170.3
2025-03-16,Advisory,228.4,112.3,116.1
2025-03-16,Bond/Fund Distribution,216.8,81.2,135.7
2025-03-17,Equity Brokerage,1128.3,679.3,448.9
2025-03-17,Margin Lending,834.9,487.0,347.9
2025-03-17,Derivatives,397.5,225.1,172.4
2025-03-17,Advisory,134.3,66.4,67.9
2025-03-17,Bond/Fund Distribution,344.2,197.0,147.3
2025-03-18,Equity Brokerage,1187.6,514.2,673.4
2025-03-18,Margin Lending,889.4,334.1,555.3
2025-03-18,Derivatives,399.2,168.4,230.8
2025-03-18,Advisory,122.5,63.1,59.4
2025-03-18,Bond/Fund Distribution,317.6,143.7,173.9
2025-03-19,Equity Brokerage,1155.4,629.3,526.0
2025-03-19,Margin Lending,1008.4,599.9,408.6
2025-03-19,Derivatives,547.7,268.7,279.1
2025-03-19,Advisory,193.4,116.5,76.9
2025-03-19,Bond/Fund Distribution,228.7,105.6,123.0
2025-03-20,Equity Brokerage,1366.7,432.4,934.3
2025-03-20,Margin Lending,976.5,524.8,451.7
2025-03-20,Derivatives,378.8,107.8,271.0
2025-03-20,Advisory,238.4,119.9,118.5
2025-03-20,Bond/Fund Distribution,327.8,105.9,221.9
2025-03-21,Equity Brokerage,1214.1,342.5,871.6
2025-03-21,Margin Lending,929.1,275.5,653.6
2025-03-21,Derivatives,481.7,191.6,290.1
2025-03-21,Advisory,217.7,74.7,143.0
2025-03-21,Bond/Fund Distribution,271.9,108.5,163.4
2025-03-22,Equity Brokerage,1197.9,519.8,678.1
2025-03-22,Margin Lending,883.9,502.0,382.0
2025-03-22,Derivatives,375.2,216.9,158.3
2025-03-22,Advisory,93.0,51.5,41.6
2025-03-22,Bond/Fund Distribution,278.2,131.7,146.4
2025-03-23,Equity Brokerage,1137.6,539.2,598.3
2025-03-23,Margin Lending,1081.3,579.6,501.7
2025-03-23,Derivatives,503.2,177.7,325.5
2025-03-23,Advisory,257.0,77.7,179.3
2025-03-23,Bond/Fund Distribution,355.8,173.8,181.9
2025-03-24,Equity Brokerage,1175.8,489.2,686.6
2025-03-24,Margin Lending,954.7,307.9,646.8
2025-03-24,Derivatives,378.8,210.7,168.0
2025-03-24,Advisory,225.0,64.9,160.1
2025-03-24,Bond/Fund Distribution,259.7,128.9,130.9
2025-03-25,Equity Brokerage,1206.0,608.9,597.1
2025-03-25,Margin Lending,888.7,357.3,531.4
2025-03-25,Derivatives,321.5,182.6,138.8
2025-03-25,Advisory,183.3,105.1,78.2
2025-03-25,Bond/Fund Distribution,254.2,125.7,128.5
2025-03-26,Equity Brokerage,1169.1,719.2,449.9
2025-03-26,Margin Lending,988.2,284.4,703.8
2025-03-26,Derivatives,425.9,231.6,194.3
2025-03-26,Advisory,142.5,78.9,63.6
2025-03-26,Bond/Fund Distribution,186.1,82.7,103.4
2025-03-27,Equity Brokerage,1241.9,644.3,597.6
2025-03-27,Margin Lending,1116.4,313.4,803.0
2025-03-27,Derivatives,445.4,228.8,216.7
2025-03-27,Advisory,20.0,10.0,10.0
2025-03-27,Bond/Fund Distribution,274.3,146.8,127.5
2025-03-28,Equity Brokerage,1172.3,328.3,844.0
2025-03-28,Margin Lending,1007.6,454.8,552.8
2025-03-28,Derivatives,375.8,229.2,146.6
2025-03-28,Advisory,209.7,70.9,138.9
2025-03-28,Bond/Fund Distribution,161.7,77.5,84.1
2025-03-29,Equity Brokerage,1175.6,687.9,487.7
2025-03-29,Margin Lending,952.3,292.8,659.5
2025-03-29,Derivatives,354.4,120.0,234.3
2025-03-29,Advisory,133.7,73.6,60.2
2025-03-29,Bond/Fund Distribution,176.9,107.2,69.7
2025-03-30,Equity Brokerage,1208.0,580.5,627.5
2025-03-30,Margin Lending,901.6,428.0,473.5
2025-03-30,Derivatives,372.1,197.9,174.2
2025-03-30,Advisory,126.1,41.6,84.5
2025-03-30,Bond/Fund Distribution,147.5,49.9,97.6
2025-03-31,Equity Brokerage,1114.5,415.0,699.4
2025-03-31,Margin Lending,947.6,327.4,620.2
2025-03-31,Derivatives,477.0,264.7,212.4
2025-03-31,Advisory,204.4,110.5,93.9
2025-03-31,Bond/Fund Distribution,246.8,151.1,95.7
2025-04-01,Equity Brokerage,1033.0,506.0,527.0
2025-04-01,Margin Lending,937.6,430.5,507.1
2025-04-01,Derivatives,416.6,168.7,247.9
2025-04-01,Advisory,228.1,124.6,103.5
2025-04-01,Bond/Fund Distribution,299.8,170.8,129.0
2025-04-02,Equity Brokerage,1188.0,513.2,674.8
2025-04-02,Margin Lending,903.1,528.4,374.7
2025-04-02,Derivatives,395.3,188.8,206.6
2025-04-02,Advisory,225.9,107.4,118.6
2025-04-02,Bond/Fund Distribution,332.6,106.3,226.2
2025-04-03,Equity Brokerage,1222.9,353.9,869.0
2025-04-03,Margin Lending,1019.8,340.4,679.4
2025-04-03,Derivatives,401.8,191.8,210.0
2025-04-03,Advisory,148.7,61.4,87.3
2025-04-03,Bond/Fund Distribution,447.5,178.6,268.9
2025-04-04,Equity Brokerage,1233.7,524.9,708.8
2025-04-04,Margin Lending,862.1,396.8,465.3
2025-04-04,Derivatives,359.0,112.9,246.1
2025-04-04,Advisory,122.2,71.8,50.4
2025-04-04,Bond/Fund Distribution,287.5,141.3,146.2
2025-04-05,Equity Brokerage,1212.5,689.0,523.5
2025-04-05,Margin Lending,904.2,533.3,370.9
2025-04-05,Derivatives,387.2,239.6,147.6
2025-04-05,Advisory,215.2,78.9,136.3
2025-04-05,Bond/Fund Distribution,306.4,88.7,217.7
2025-04-06,Equity Brokerage,1219.4,563.1,656.3
2025-04-06,Margin Lending,950.0,529.2,420.8
2025-04-06,Derivatives,316.5,172.9,143.7
2025-04-06,Advisory,114.9,46.5,68.4
2025-04-06,Bond/Fund Distribution,176.1,105.4,70.6
2025-04-07,Equity Brokerage,1130.8,426.9,703.9
2025-04-07,Margin Lending,940.7,579.0,361.7
2025-04-07,Derivatives,370.3,227.2,143.1
2025-04-07,Advisory,124.7,35.2,89.4
2025-04-07,Bond/Fund Distribution,245.4,112.0,133.5
2025-04-08,Equity Brokerage,1286.6,573.9,712.7
2025-04-08,Margin Lending,989.1,281.5,707.6
2025-04-08,Derivatives,500.9,301.2,199.7
2025-04-08,Advisory,141.5,63.0,78.5
2025-04-08,Bond/Fund Distribution,190.6,64.4,126.2
2025-04-09,Equity Brokerage,1235.8,742.6,493.3
2025-04-09,Margin Lending,850.6,371.4,479.1
2025-04-09,Derivatives,386.3,157.8,228.5
2025-04-09,Advisory,128.5,76.5,51.9
2025-04-09,Bond/Fund Distribution,280.6,100.9,179.6
2025-04-10,Equity Brokerage,1228.2,621.4,606.9
2025-04-10,Margin Lending,847.2,456.8,390.4
2025-04-10,Derivatives,395.4,161.5,233.9
2025-04-10,Advisory,246.6,104.9,141.7
2025-04-10,Bond/Fund Distribution,356.1,201.4,154.7
2025-04-11,Equity Brokerage,1212.8,680.4,532.4
2025-04-11,Margin Lending,935.2,552.7,382.5
2025-04-11,Derivatives,354.7,122.9,231.8
2025-04-11,Advisory,219.8,106.0,113.8
2025-04-11,Bond/Fund Distribution,111.2,63.0,48.2
2025-04-12,Equity Brokerage,1132.0,586.4,545.7
2025-04-12,Margin Lending,803.5,227.2,576.4
2025-04-12,Derivatives,169.3,61.1,108.2
2025-04-12,Advisory,149.8,44.4,105.4
2025-04-12,Bond/Fund Distribution,200.1,70.8,129.3
2025-04-13,Equity Brokerage,1160.1,602.6,557.4
2025-04-13,Margin Lending,908.3,293.8,614.5
2025-04-13,Derivatives,429.4,122.4,307.0
2025-04-13,Advisory,220.7,70.3,150.3
