customer_id,branch,rm,aum_bil_vnd,monthly_trading_value_mil_vnd,margin_balance_bil_vnd,product_usage,last_active_date,lifecycle
C0106,Ho Chi Minh,RM_14,1.59,72.74,0.51,Margin,2026-04-14,Active
C0107,Online,RM_12,1.27,22.17,0.56,Fund|Bond|Equity,2026-03-23,VIP
C0108,Da Nang,RM_27,2.26,83.08,0.23,Derivative|Fund,2026-03-30,New
C0109,Ho Chi Minh,RM_26,0.38,442.49,0.01,Derivative,2026-02-27,Active
C0110,Hai Phong,RM_10,0.12,3899.48,0.05,Margin|Bond|Equity,2026-03-21,New
C0111,Hai Phong,RM_04,0.31,143.4,0.12,Fund,2026-04-25,New
C0112,Da Nang,RM_15,1.4,1091.94,0.05,Fund|Derivative|Margin,2026-04-21,New
C0113,Hai Phong,RM_28,0.76,371.67,0.31,Advisory|Margin,2026-04-15,Active
C0114,Hai Phong,RM_16,1.84,190.25,0.72,Fund|Bond|Margin,2026-04-08,Active
C0115,Online,RM_06,0.88,100.48,0.38,Derivative|Equity|Bond,2026-04-19,Active
C0116,Online,RM_18,1.1,185.85,0.25,Margin,2026-04-30,New
C0117,Ho Chi Minh,RM_02,1.38,1292.16,0.48,Bond|Derivative,2026-04-28,Active
C0118,Da Nang,RM_15,0.86,187.51,0.03,Bond,2026-04-24,New
C0119,Online,RM_24,0.41,181.17,0.14,Fund|Advisory|Margin,2026-04-30,Active
C0120,Ho Chi Minh,RM_14,1.43,113.48,0.07,Fund|Equity|Margin,2026-03-27,Active
C0121,Hai Phong,RM_22,1.11,156.35,0.43,Margin|Advisory|Fund,2026-03-01,Active
C0122,Online,RM_06,0.36,57.31,0.0,Derivative|Equity,2026-04-12,Dormant
C0123,Da Nang,RM_21,0.62,32.43,0.15,Bond,2026-04-30,Active
C0124,Da Nang,RM_15,0.26,113.27,0.01,Derivative,2026-04-10,Active
C0125,Da Nang,RM_21,0.17,1039.35,0.07,Fund,2026-04-28,Active
C0126,Can Tho,RM_11,1.59,191.04,0.56,Advisory|Margin,2026-04-30,Active
C0127,Hai Phong,RM_16,0.17,108.4,0.03,Advisory|Bond,2026-04-04,Dormant
C0128,Online,RM_30,0.27,87.82,0.07,Fund|Derivative,2026-04-09,Active
C0129,Da Nang,RM_03,0.89,315.08,0.25,Equity,2026-04-13,Dormant
C0130,Online,RM_30,0.52,1701.43,0.15,Derivative|Equity,2026-04-16,Active
C0131,Hai Phong,RM_10,3.91,72.11,1.04,Fund,2026-04-12,Active
C0132,Hanoi HQ,RM_13,1.22,63.65,0.36,Fund|Equity,2026-04-18,VIP
C0133,Da Nang,RM_09,0.31,117.87,0.06,Bond|Derivative,2026-04-26,Active
C0134,Can Tho,RM_29,1.06,372.03,0.35,Derivative|Margin,2026-04-04,New
C0135,Ho Chi Minh,RM_02,2.13,114.68,0.86,Derivative|Equity,2026-04-21,Active
C0136,Hanoi HQ,RM_13,2.52,104.06,0.27,Equity|Bond,2026-04-04,Active
C0137,Can Tho,RM_05,0.65,53.25,0.03,Advisory|Derivative,2026-04-21,Active
C0138,Hanoi HQ,RM_25,0.2,428.98,0.07,Equity,2026-04-28,Active
C0139,Can Tho,RM_29,1.96,69.5,0.38,Advisory|Bond|Margin,2026-04-25,Active
C0140,Can Tho,RM_11,1.69,459.09,0.36,Derivative|Margin|Equity,2026-03-28,Active
C0141,Ho Chi Minh,RM_02,0.52,72.85,0.01,Margin|Fund|Bond,2026-04-12,New
C0142,Hanoi HQ,RM_19,1.81,175.15,0.37,Derivative|Equity,2026-04-17,Active
C0143,Online,RM_18,1.34,37.55,0.58,Fund,2026-04-29,Active
C0144,Can Tho,RM_23,0.69,148.52,0.01,Derivative|Margin,2026-04-25,Dormant
C0145,Hanoi HQ,RM_01,1.37,34.03,0.24,Equity|Bond,2026-04-12,New
C0146,Da Nang,RM_09,0.52,150.1,0.07,Equity|Advisory,2026-04-28,Dormant
C0147,Hanoi HQ,RM_13,0.54,543.36,0.2,Fund|Margin,2026-04-28,Active
C0148,Da Nang,RM_15,0.3,660.04,0.06,Advisory,2026-04-26,Active
C0149,Ho Chi Minh,RM_14,2.58,257.75,0.58,Bond|Margin,2026-04-16,New
C0150,Can Tho,RM_05,3.07,16.09,0.74,Derivative|Equity|Bond,2026-04-14,New
C0151,Can Tho,RM_23,1.81,100.36,0.06,Advisory|Margin|Derivative,2026-03-06,Active
C0152,Ho Chi Minh,RM_14,0.13,107.37,0.02,Equity|Derivative|Margin,2026-04-24,Active
C0153,Ho Chi Minh,RM_02,0.4,20.88,0.02,Derivative|Advisory|Equity,2026-04-27,Active
C0154,Online,RM_24,0.41,213.93,0.17,Bond|Margin,2026-04-21,New
C0155,Hanoi HQ,RM_13,2.42,182.52,0.96,Bond,2026-04-26,Dormant
C0156,Hai Phong,RM_16,0.14,180.74,0.02,Derivative|Fund|Bond,2026-04-07,Active
C0157,Can Tho,RM_23,0.22,168.22,0.07,Fund|Bond|Advisory,2026-03-26,Active
C0158,Hanoi HQ,RM_07,0.16,160.62,0.03,Derivative|Advisory,2026-04-14,Active
C0159,Da Nang,RM_03,0.11,13.64,0.04,Equity|Advisory,2026-04-30,Dormant
C0160,Hanoi HQ,RM_13,0.24,54.71,0.04,Bond,2026-04-29,Active
C0161,Da Nang,RM_21,1.36,21.59,0.42,Equity|Fund,2026-04-26,Active
C0162,Ho Chi Minh,RM_02,0.1,59.9,0.03,Margin,2026-04-29,Active
C0163,Hai Phong,RM_10,0.65,44.26,0.22,Equity|Margin|Fund,2026-04-23,New
C0164,Ho Chi Minh,RM_20,0.78,282.19,0.3,Equity|Derivative,2026-04-17,Active
C0165,Hai Phong,RM_16,0.21,122.96,0.01,Fund|Bond|Equity,2026-04-28,Active
C0166,Hanoi HQ,RM_25,0.12,209.2,0.02,Fund|Equity,2026-04-20,VIP
C0167,Can Tho,RM_05,0.74,7.92,0.13,Equity,2026-04-17,Active
C0168,Hanoi HQ,RM_07,0.44,92.25,0.08,Equity|Advisory,2026-04-27,Dormant
C0169,Ho Chi Minh,RM_02,0.71,294.13,0.19,Advisory,2026-04-04,Active
C0170,Da Nang,RM_21,0.68,37.62,0.16,Margin,2026-04-26,Active
C0171,Online,RM_18,1.5,72.21,0.0,Margin|Equity,2026-04-30,Active
C0172,Hai Phong,RM_10,0.67,23.48,0.23,Margin|Fund|Derivative,2026-04-13,Active
C0173,Online,RM_30,0.34,64.59,0.1,Fund|Margin|Advisory,2026-04-13,Active
C0174,Online,RM_06,0.25,95.07,0.1,Equity,2026-04-20,Active
C0175,Can Tho,RM_29,0.41,6.92,0.0,Advisory|Bond,2026-04-25,Dormant
C0176,Hanoi HQ,RM_13,0.71,226.27,0.04,Margin|Equity|Bond,2026-04-16,Active
C0177,Hai Phong,RM_04,0.49,220.02,0.14,Bond,2026-04-01,VIP
C0178,Can Tho,RM_17,2.27,34.87,0.45,Bond|Derivative,2026-04-25,Active
C0179,Ho Chi Minh,RM_02,0.28,11.09,0.03,Margin|Advisory|Fund,2026-03-22,Active
C0180,Hanoi HQ,RM_13,2.16,225.29,0.1,Advisory,2026-04-30,Active
C0181,Hai Phong,RM_28,0.25,16.91,0.06,Derivative|Margin,2026-03-30,Active
C0182,Hanoi HQ,RM_25,0.59,105.15,0.25,Fund|Derivative|Bond,2026-04-19,New
C0183,Hanoi HQ,RM_13,3.34,209.16,1.22,Bond|Derivative|Advisory,2026-04-11,New
C0184,Ho Chi Minh,RM_08,0.13,14.04,0.04,Equity|Margin,2026-03-10,New
C0185,Da Nang,RM_21,1.71,63.0,0.66,Bond,2026-03-28,VIP
C0186,Ho Chi Minh,RM_14,1.76,268.37,0.52,Fund|Derivative,2026-04-27,New
C0187,Online,RM_18,1.0,56.48,0.04,Advisory|Derivative|Margin,2026-03-01,Active
C0188,Hanoi HQ,RM_01,0.11,130.42,0.03,Margin|Bond|Derivative,2026-04-09,Active
C0189,Ho Chi Minh,RM_26,0.59,46.94,0.21,Fund|Equity,2026-04-26,Active
C0190,Da Nang,RM_09,0.63,121.59,0.22,Fund,2026-04-30,Active
C0191,Hai Phong,RM_16,0.46,48.53,0.18,Equity|Bond|Margin,2026-01-20,Active
C0192,Ho Chi Minh,RM_26,0.18,17.25,0.05,Margin|Bond,2026-04-30,New
C0193,Can Tho,RM_23,0.75,390.46,0.24,Equity|Bond,2026-04-29,Active
C0194,Online,RM_18,0.53,128.59,0.08,Equity|Bond|Margin,2026-04-12,Active
C0195,Hai Phong,RM_04,0.05,288.74,0.0,Derivative|Fund|Advisory,2026-04-23,Dormant
C0196,Da Nang,RM_15,0.26,919.65,0.07,Margin|Equity|Derivative,2026-04-03,VIP
C0197,Can Tho,RM_05,0.44,34.91,0.07,Fund,2026-04-30,Active
C0198,Da Nang,RM_21,0.4,28.6,0.08,Equity,2026-04-19,New
C0199,Hanoi HQ,RM_07,0.55,39.85,0.23,Equity,2026-04-19,Active
C0200,Da Nang,RM_03,1.76,55.84,0.77,Fund|Bond|Advisory,2026-04-22,Active
C0201,Hai Phong,RM_04,0.06,316.38,0.01,Equity|Margin,2026-03-20,Dormant
C0202,Hai Phong,RM_10,1.18,220.39,0.33,Equity,2026-04-18,Active
C0203,Can Tho,RM_17,1.15,115.04,0.32,Fund,2026-04-23,New
C0204,Hai Phong,RM_22,2.0,2239.46,0.1,Fund|Derivative,2026-03-26,Active
C0205,Online,RM_06,1.26,74.13,0.24,Advisory|Bond,2026-04-28,Active
C0206,Can Tho,RM_29,0.31,360.63,0.11,Advisory|Equity|Derivative,2026-04-28,Active
C0207,Hanoi HQ,RM_07,0.82,386.42,0.28,Bond|Equity|Margin,2026-04-05,Dormant
C0208,Ho Chi Minh,RM_08,1.75,109.82,0.42,Advisory|Derivative,2026-04-18,Active
C0209,Hanoi HQ,RM_19,0.43,68.1,0.02,Margin,2026-04-23,Active
C0210,Hai Phong,RM_16,0.76,342.76,0.15,Equity|Margin,2026-04-16,Active
C0211,Online,RM_06,0.52,76.74,0.04,Equity|Bond|Advisory,2026-03-21,New
C0212,Da Nang,RM_09,0.74,565.63,0.32,Bond|Fund|Equity,2026-04-21,Active
C0213,Online,RM_06,1.07,51.16,0.04,Fund|Advisory,2026-04-30,Dormant
C0214,Ho Chi Minh,RM_20,0.95,267.69,0.13,Equity|Advisory,2026-04-25,Active
C0215,Hai Phong,RM_28,0.41,76.15,0.06,Fund|Derivative,2026-04-20,Dormant
C0216,Can Tho,RM_11,0.45,249.03,0.01,Advisory|Equity,2026-04-06,Active
C0217,Ho Chi Minh,RM_20,1.3,70.96,0.16,Margin|Fund,2026-04-12,Active
C0218,Ho Chi Minh,RM_20,1.49,249.31,0.45,Margin,2026-04-25,New
C0219,Online,RM_24,0.19,63.26,0.03,Margin|Derivative|Equity,2026-04-28,Active
C0220,Ho Chi Minh,RM_14,0.58,190.25,0.22,Fund|Derivative|Equity,2026-04-24,New
C0221,Hanoi HQ,RM_07,1.97,1149.44,0.56,Bond|Margin|Advisory,2026-04-17,New
C0222,Hanoi HQ,RM_01,0.11,86.37,0.03,Derivative|Margin|Bond,2026-04-24,Dormant
C0223,Ho Chi Minh,RM_02,1.87,785.38,0.75,Advisory|Bond|Margin,2026-04-27,Active
C0224,Ho Chi Minh,RM_14,0.78,429.47,0.02,Margin|Bond|Advisory,2026-03-29,Dormant
C0225,Hai Phong,RM_04,0.43,155.97,0.18,Derivative|Fund|Advisory,2026-04-19,Active
C0226,Hanoi HQ,RM_19,3.03,88.75,0.87,Equity|Advisory,2026-04-10,VIP
C0227,Ho Chi Minh,RM_02,1.03,117.06,0.12,Bond|Derivative,2026-04-21,Active
C0228,Da Nang,RM_27,0.47,55.86,0.21,Derivative,2026-04-23,Active
C0229,Hanoi HQ,RM_13,2.31,136.69,0.05,Bond,2026-03-29,Active
C0230,Can Tho,RM_11,0.4,306.0,0.15,Advisory|Margin|Bond,2026-04-17,VIP
C0231,Hanoi HQ,RM_13,3.18,54.83,1.26,Margin,2026-04-10,Active
C0232,Hai Phong,RM_28,0.45,140.61,0.05,Equity|Bond|Advisory,2026-04-29,Active
C0233,Hai Phong,RM_04,0.3,85.36,0.06,Derivative,2026-04-05,Dormant
C0234,Can Tho,RM_29,0.24,564.82,0.06,Fund|Margin,2026-04-30,Active
C0235,Online,RM_06,0.77,52.73,0.05,Margin|Advisory,2026-04-30,Active
C0236,Ho Chi Minh,RM_26,0.61,23.36,0.22,Fund,2026-04-29,Active
C0237,Da Nang,RM_21,0.94,380.24,0.1,Margin|Derivative|Equity,2026-04-22,New
C0238,Can Tho,RM_11,0.12,433.92,0.03,Derivative,2026-04-08,New
C0239,Hanoi HQ,RM_01,0.28,74.54,0.0,Fund|Equity|Derivative,2026-04-12,New
C0240,Can Tho,RM_05,2.46,135.2,0.64,Bond|Advisory|Margin,2026-04-16,Active
C0241,Online,RM_24,1.25,120.49,0.22,Equity|Fund,2026-04-30,Active
C0242,Can Tho,RM_29,0.12,80.96,0.05,Equity|Margin,2026-04-28,Active
C0243,Hai Phong,RM_28,0.31,132.82,0.08,Margin,2026-04-28,Active
C0244,Ho Chi Minh,RM_02,0.43,56.85,0.16,Fund|Advisory,2026-04-23,Active
C0245,Online,RM_12,1.37,68.37,0.33,Fund|Margin|Advisory,2026-04-27,Active
C0246,Hanoi HQ,RM_19,1.47,306.47,0.2,Fund|Margin,2026-04-23,New
C0247,Can Tho,RM_17,1.22,161.27,0.07,Fund|Equity,2026-04-14,Active
C0248,Hanoi HQ,RM_07,0.95,82.02,0.12,Advisory|Fund,2026-03-24,New
C0249,Ho Chi Minh,RM_20,0.93,378.03,0.16,Margin,2026-04-24,Active
C0250,Hanoi HQ,RM_19,0.65,342.12,0.13,Margin|Equity|Advisory,2026-04-14,New
C0251,Hanoi HQ,RM_13,2.32,95.54,0.93,Margin|Derivative,2026-04-29,Active
C0252,Can Tho,RM_23,0.71,78.03,0.22,Bond|Equity,2026-04-07,Active
C0253,Ho Chi Minh,RM_02,2.44,46.05,0.58,Advisory|Equity|Derivative,2026-04-02,New
C0254,Online,RM_30,1.21,262.88,0.08,Advisory,2026-04-05,Active
C0255,Ho Chi Minh,RM_08,3.37,55.63,0.43,Equity|Margin|Fund,2026-04-10,Dormant
C0256,Hanoi HQ,RM_13,0.35,173.17,0.13,Bond|Equity,2026-04-26,Active
C0257,Hai Phong,RM_28,0.55,370.54,0.07,Margin|Fund|Equity,2026-04-28,Active
C0258,Da Nang,RM_09,0.48,26.14,0.16,Equity|Bond|Fund,2026-04-27,Active
C0259,Online,RM_18,1.62,41.0,0.6,Margin|Derivative,2026-04-01,Active
C0260,Online,RM_12,0.12,116.0,0.01,Margin|Derivative|Bond,2026-04-13,New
C0261,Ho Chi Minh,RM_26,1.47,332.88,0.39,Bond|Margin,2026-03-21,Active
C0262,Can Tho,RM_11,0.61,141.04,0.16,Fund|Margin,2026-03-25,Active
C0263,Online,RM_12,0.34,174.23,0.01,Derivative|Advisory|Fund,2026-04-16,Active
C0264,Hanoi HQ,RM_13,0.41,48.0,0.02,Margin,2026-04-10,Active
C0265,Hai Phong,RM_10,0.72,41.16,0.12,Derivative|Advisory|Equity,2026-03-25,Dormant
C0266,Hanoi HQ,RM_13,2.49,84.13,0.95,Derivative,2026-04-26,Active
C0267,Can Tho,RM_23,0.15,294.17,0.01,Advisory|Derivative,2026-04-12,Active
C0268,Hai Phong,RM_22,0.32,141.77,0.01,Derivative,2026-04-11,Active
C0269,Hanoi HQ,RM_13,0.16,34.37,0.0,Derivative|Margin,2026-04-28,Active
C0270,Hai Phong,RM_22,1.81,42.15,0.71,Derivative|Margin,2026-04-30,Active
C0271,Can Tho,RM_17,1.12,122.25,0.06,Bond|Fund|Derivative,2026-04-30,Active
C0272,Da Nang,RM_21,2.51,48.37,0.25,Advisory|Margin|Bond,2026-04-12,Dormant
C0273,Da Nang,RM_09,2.56,145.79,0.7,Margin,2026-04-24,Active
C0274,Ho Chi Minh,RM_02,0.39,1690.2,0.01,Bond|Advisory,2026-04-10,VIP
C0275,Hai Phong,RM_28,0.37,239.17,0.12,Fund,2026-04-13,Active
C0276,Hanoi HQ,RM_13,1.19,419.33,0.21,Derivative|Fund|Margin,2026-04-10,Active
C0277,Hanoi HQ,RM_25,1.01,236.61,0.03,Derivative,2026-04-28,Active
C0278,Online,RM_18,2.04,50.41,0.33,Equity|Bond,2026-03-08,Active
C0279,Online,RM_30,2.15,146.13,0.46,Derivative,2026-03-20,Active
C0280,Online,RM_12,0.15,198.92,0.03,Equity|Bond|Fund,2026-04-14,Dormant
C0281,Can Tho,RM_29,0.74,224.48,0.33,Derivative,2026-04-05,Active
C0282,Can Tho,RM_17,0.91,31.85,0.32,Bond,2026-04-18,Dormant
C0283,Hai Phong,RM_10,0.44,200.33,0.1,Margin|Advisory,2026-04-01,Dormant
C0284,Hanoi HQ,RM_13,0.51,58.69,0.09,Margin|Fund|Bond,2026-03-16,Active
C0285,Ho Chi Minh,RM_20,0.93,141.17,0.4,Bond|Derivative,2026-04-15,Active
C0286,Online,RM_18,0.22,267.29,0.02,Advisory|Fund|Equity,2026-03-16,Active
C0287,Hanoi HQ,RM_01,0.9,97.14,0.11,Fund,2026-03-07,Active
C0288,Hanoi HQ,RM_19,0.58,35.26,0.24,Equity,2026-03-28,Active
C0289,Ho Chi Minh,RM_20,0.38,50.03,0.05,Advisory|Derivative,2026-04-14,Dormant
C0290,Hanoi HQ,RM_01,2.57,79.74,0.97,Equity|Advisory,2026-04-23,Dormant
C0291,Can Tho,RM_23,0.61,248.95,0.15,Bond,2026-04-17,Active
C0292,Ho Chi Minh,RM_08,0.35,38.82,0.05,Bond|Equity|Margin,2026-04-26,Active
C0293,Da Nang,RM_15,3.19,70.48,0.87,Fund,2026-03-21,Active
C0294,Da Nang,RM_27,1.47,52.37,0.36,Equity|Derivative|Bond,2026-04-28,Active
C0295,Da Nang,RM_09,1.57,25.78,0.34,Derivative|Margin|Fund,2026-04-22,Active
